Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
LaLiga ,2,13/09/08,Home,FC Barcelona,Racing Santander,1:1,RW,70',1:0,Penalty,Not Applicable
LaLiga ,3,21/09/08,Away,FC Barcelona,Sporting Gijón,1:6,RW,85',1:5,Left-footed shot,Andrés Iniesta
LaLiga ,3,21/09/08,Away,FC Barcelona,Sporting Gijón,1:6,RW,89',1:6,Header,Xavi
LaLiga ,5,27/09/08,Away,FC Barcelona,RCD Espanyol Barcelona,1:2,RW,90',1:2,Penalty,Not Applicable
Champions League ,Gruppenphase,01/10/08,Away,FC Barcelona,Shakhtar Donetsk,1:2,RW,87',1:1,Right-footed shot,Bojan Krkic
Champions League ,Gruppenphase,01/10/08,Away,FC Barcelona,Shakhtar Donetsk,1:2,RW,90'+4,1:2,Left-footed shot,Xavi
LaLiga ,6,04/10/08,Home,FC Barcelona,Atlético de Madrid,6:1,RW,8',3:0,Direct free kick,Not Applicable
Champions League ,Gruppenphase,22/10/08,Away,FC Barcelona,FC Basel 1893,0:5,CF,4',0:1,Left-footed shot,Dani Alves
LaLiga ,9,01/11/08,Away,FC Barcelona,Málaga CF,1:4,RW,19',1:2,Left-footed shot,Not Applicable
Champions League ,Gruppenphase,04/11/08,Home,FC Barcelona,FC Basel 1893,1:1,RW,61',1:0,Left-footed shot,Thierry Henry
Copa del Rey ,4.Runde,12/11/08,Home,FC Barcelona,Benidorm CD,1:0,RW,86',1:0,Penalty rebound,Not Applicable
LaLiga ,11,16/11/08,Away,FC Barcelona,Recreativo Huelva,0:2,RW,51',0:1,Left-footed shot,Xavi
Champions League ,Gruppenphase,26/11/08,Away,FC Barcelona,Sporting CP,2:5,RW,49',0:3,Left-footed shot,Dani Alves
LaLiga ,13,29/11/08,Away,FC Barcelona,Sevilla FC,0:3,RW,78',0:2,Left-footed shot,Xavi
LaLiga ,13,29/11/08,Away,FC Barcelona,Sevilla FC,0:3,RW,90'+2,0:3,Left-footed shot,Aleksandr Hleb
LaLiga ,15,13/12/08,Home,FC Barcelona,Real Madrid,2:0,RW,90'+1,2:0,Counter attack goal,Thierry Henry
Copa del Rey ,Achtelfinale,06/01/09,Away,FC Barcelona,Atlético de Madrid,1:3,RW,11',0:1,Left-footed shot,Dani Alves
Copa del Rey ,Achtelfinale,06/01/09,Away,FC Barcelona,Atlético de Madrid,1:3,RW,57',0:2,Penalty,Not Applicable
Copa del Rey ,Achtelfinale,06/01/09,Away,FC Barcelona,Atlético de Madrid,1:3,RW,79',1:3,Right-footed shot,Andrés Iniesta
LaLiga ,18,11/01/09,Away,FC Barcelona,CA Osasuna,2:3,RW,84',2:3,Left-footed shot,Dani Alves
LaLiga ,19,17/01/09,Home,FC Barcelona,Deportivo de La Coruña,5:0,RW,21',1:0,Left-footed shot,Not Applicable
LaLiga ,20,24/01/09,Home,FC Barcelona,CD Numancia,4:1,RW,49',1:0,Left-footed shot,Dani Alves
LaLiga ,20,24/01/09,Home,FC Barcelona,CD Numancia,4:1,RW,76',4:1,Right-footed shot,Not Applicable
LaLiga ,21,01/02/09,Away,FC Barcelona,Racing Santander,1:2,RW,65',1:1,Right-footed shot,Xavi
LaLiga ,21,01/02/09,Away,FC Barcelona,Racing Santander,1:2,RW,81',1:2,Right-footed shot,Not Applicable
LaLiga ,25,01/03/09,Away,FC Barcelona,Atlético de Madrid,4:3,RW,30',0:2,Left-footed shot,Not Applicable
Copa del Rey ,Halbfinale,04/03/09,Away,FC Barcelona,RCD Mallorca,1:1,RW,81',1:1,Left-footed shot,Gerard Piqué
LaLiga ,26,07/03/09,Home,FC Barcelona,Athletic Bilbao,2:0,RW,31',2:0,Penalty,Not Applicable
Champions League ,Achtelfinale,11/03/09,Home,FC Barcelona,Olympique Lyon,5:2,RW,40',3:0,Left-footed shot,Samuel Eto'o
LaLiga ,28,22/03/09,Home,FC Barcelona,Málaga CF,6:0,RW,26',2:0,Right-footed shot,Xavi
Champions League ,Viertelfinale,08/04/09,Home,FC Barcelona,Bayern Munich,4:0,RW,9',1:0,Left-footed shot,Samuel Eto'o
Champions League ,Viertelfinale,08/04/09,Home,FC Barcelona,Bayern Munich,4:0,RW,38',3:0,Right-footed shot,Thierry Henry
LaLiga ,31,18/04/09,Away,FC Barcelona,Getafe CF,0:1,RW,18',0:1,Left-footed shot,Xavi
LaLiga ,33,25/04/09,Away,FC Barcelona,Valencia CF,2:2,RW,23',0:1,Left-footed shot,Andrés Iniesta
LaLiga ,34,02/05/09,Away,FC Barcelona,Real Madrid,2:6,CF,35',1:3,Left-footed shot,Xavi
LaLiga ,34,02/05/09,Away,FC Barcelona,Real Madrid,2:6,CF,75',2:5,Left-footed shot,Xavi
Copa del Rey ,Finale,13/05/09,Home,FC Barcelona,Athletic Bilbao,4:1,RW,55',2:1,Left-footed shot,Samuel Eto'o
Champions League ,Finale,27/05/09,Home,FC Barcelona,Manchester United,2:0,RW,70',2:0,Header,Xavi
Supercopa ,Finale,23/08/09,Home,FC Barcelona,Athletic Bilbao,3:0,RW,50',1:0,Right-footed shot,Zlatan Ibrahimović
Supercopa ,Finale,23/08/09,Home,FC Barcelona,Athletic Bilbao,3:0,RW,68',2:0,Penalty,Not Applicable
LaLiga ,2,12/09/09,Away,FC Barcelona,Getafe CF,0:2,RW,78',0:2,Header,Zlatan Ibrahimović
LaLiga ,3,19/09/09,Home,FC Barcelona,Atlético de Madrid,5:2,RW,15',2:0,Left-footed shot,Xavi
LaLiga ,3,19/09/09,Home,FC Barcelona,Atlético de Madrid,5:2,RW,90'+3,5:2,Right-footed shot,Dani Alves
LaLiga ,4,22/09/09,Away,FC Barcelona,Racing Santander,1:4,RW,23',0:2,Left-footed shot,Xavi
LaLiga ,4,22/09/09,Away,FC Barcelona,Racing Santander,1:4,RW,63',0:4,Left-footed shot,Xavi
Champions League ,Gruppenphase,29/09/09,Home,FC Barcelona,Dynamo Kyiv,2:0,RW,25',1:0,Left-footed shot,Andrés Iniesta
LaLiga ,8,25/10/09,Home,FC Barcelona,Real Zaragoza,6:1,RW,80',5:1,Left-footed shot,Andrés Iniesta
LaLiga ,10,07/11/09,Home,FC Barcelona,RCD Mallorca,4:2,RW,86',4:1,Penalty,Not Applicable
Copa del Rey ,4.Runde,10/11/09,Home,FC Barcelona,Cultural Leonesa,5:0,RW,64',4:0,Left-footed shot,Pedro
LaLiga ,13,05/12/09,Away,FC Barcelona,Deportivo de La Coruña,1:3,RW,26',0:1,Left-footed shot,Dani Alves
LaLiga ,13,05/12/09,Away,FC Barcelona,Deportivo de La Coruña,1:3,RW,80',1:2,Header,Pedro
Champions League ,Gruppenphase,09/12/09,Away,FC Barcelona,Dynamo Kyiv,1:2,RW,86',1:2,Direct free kick,Not Applicable
Club World Cup ,Halbfinale,16/12/09,Away,FC Barcelona,CF Atlante,1:3,RW,55',1:2,Left-footed shot,Zlatan Ibrahimović
Club World Cup ,Finale,19/12/09,Away,FC Barcelona,Club Estudiantes de La Plata,1:2,RW,110',1:2,Chest,Dani Alves
LaLiga ,17,10/01/10,Away,FC Barcelona,CD Tenerife,0:5,RW,36',0:1,Left-footed shot,Bojan Krkic
LaLiga ,17,10/01/10,Away,FC Barcelona,CD Tenerife,0:5,RW,45',0:3,Right-footed shot,Bojan Krkic
LaLiga ,17,10/01/10,Away,FC Barcelona,CD Tenerife,0:5,RW,75',0:4,Left-footed shot,Bojan Krkic
LaLiga ,18,16/01/10,Home,FC Barcelona,Sevilla FC,4:0,RW,85',3:0,Left-footed shot,Dani Alves
LaLiga ,18,16/01/10,Home,FC Barcelona,Sevilla FC,4:0,RW,90'+1,4:0,Left-footed shot,Éric Abidal
LaLiga ,19,23/01/10,Away,FC Barcelona,Real Valladolid CF,0:3,RW,54',0:3,Left-footed shot,Zlatan Ibrahimović
LaLiga ,21,06/02/10,Home,FC Barcelona,Getafe CF,2:1,RW,7',1:0,Left-footed shot,Yaya Touré
LaLiga ,24,27/02/10,Home,FC Barcelona,Málaga CF,2:1,AM,84',2:1,Right-footed shot,Dani Alves
LaLiga ,25,06/03/10,Away,FC Barcelona,UD Almería,2:2,RW,42',1:1,Direct free kick,Not Applicable
LaLiga ,25,06/03/10,Away,FC Barcelona,UD Almería,2:2,RW,66',2:2,Left-footed shot,Not Applicable
LaLiga ,26,14/03/10,Home,FC Barcelona,Valencia CF,3:0,CF,56',1:0,Left-footed shot,Xavi
LaLiga ,26,14/03/10,Home,FC Barcelona,Valencia CF,3:0,CF,80',2:0,Left-footed shot,Thierry Henry
LaLiga ,26,14/03/10,Home,FC Barcelona,Valencia CF,3:0,CF,82',3:0,Right-footed shot,Thierry Henry
Champions League ,Achtelfinale,17/03/10,Home,FC Barcelona,VfB Stuttgart,4:0,CF,13',1:0,Left-footed shot,Yaya Touré
Champions League ,Achtelfinale,17/03/10,Home,FC Barcelona,VfB Stuttgart,4:0,CF,56',3:0,Left-footed shot,Dani Alves
LaLiga ,27,21/03/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,4',0:1,Header,Pedro
LaLiga ,27,21/03/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,65',0:2,Left-footed shot,Not Applicable
LaLiga ,27,21/03/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,78',0:3,Left-footed shot,Andrés Iniesta
LaLiga ,30,03/04/10,Home,FC Barcelona,Athletic Bilbao,4:1,CF,67',4:0,Left-footed shot,Pedro
Champions League ,Viertelfinale,06/04/10,Home,FC Barcelona,Arsenal FC,4:1,CF,21',1:1,Left-footed shot,Not Applicable
Champions League ,Viertelfinale,06/04/10,Home,FC Barcelona,Arsenal FC,4:1,CF,37',2:1,Right-footed shot,Pedro
Champions League ,Viertelfinale,06/04/10,Home,FC Barcelona,Arsenal FC,4:1,CF,42',3:1,Left-footed shot,Seydou Keita
Champions League ,Viertelfinale,06/04/10,Home,FC Barcelona,Arsenal FC,4:1,CF,88',4:1,Solo run,Not Applicable
LaLiga ,31,10/04/10,Away,FC Barcelona,Real Madrid,0:2,CF,32',0:1,Right-footed shot,Xavi
LaLiga ,35,01/05/10,Away,FC Barcelona,Villarreal CF,1:4,CF,18',0:1,Left-footed shot,Xavi
LaLiga ,35,01/05/10,Away,FC Barcelona,Villarreal CF,1:4,CF,87',1:4,Left-footed shot,Dani Alves
LaLiga ,36,04/05/10,Home,FC Barcelona,CD Tenerife,4:1,RW,16',1:0,Right-footed shot,Zlatan Ibrahimović
LaLiga ,36,04/05/10,Home,FC Barcelona,CD Tenerife,4:1,RW,90'+3,4:1,Right-footed shot,Dani Alves
LaLiga ,37,08/05/10,Away,FC Barcelona,Sevilla FC,2:3,CF,5',0:1,Left-footed shot,Maxwell
LaLiga ,38,16/05/10,Home,FC Barcelona,Real Valladolid CF,4:0,CF,61',3:0,Right-footed shot,Yaya Touré
LaLiga ,38,16/05/10,Home,FC Barcelona,Real Valladolid CF,4:0,CF,74',4:0,Left-footed shot,Yaya Touré
Supercopa ,Finale,21/08/10,Home,FC Barcelona,Sevilla FC,4:0,RW,25',2:0,Left-footed shot,Xavi
Supercopa ,Finale,21/08/10,Home,FC Barcelona,Sevilla FC,4:0,RW,43',3:0,Right-footed shot,Dani Alves
Supercopa ,Finale,21/08/10,Home,FC Barcelona,Sevilla FC,4:0,RW,90'+1,4:0,Left-footed shot,Andrés Iniesta
LaLiga ,1,29/08/10,Away,FC Barcelona,Racing Santander,0:3,RW,3',0:1,Left-footed shot,Andrés Iniesta
Champions League ,Gruppenphase,14/09/10,Home,FC Barcelona,Panathinaikos FC,5:1,CF,22',1:1,Left-footed shot,Xavi
Champions League ,Gruppenphase,14/09/10,Home,FC Barcelona,Panathinaikos FC,5:1,CF,45',3:1,Left-footed shot,Pedro
LaLiga ,3,19/09/10,Away,FC Barcelona,Atlético de Madrid,1:2,CF,12',0:1,Left-footed shot,Pedro
LaLiga ,6,03/10/10,Home,FC Barcelona,RCD Mallorca,1:1,CF,20',1:0,Left-footed shot,Pedro
Champions League ,Gruppenphase,20/10/10,Home,FC Barcelona,FC Copenhagen,2:0,CF,18',1:0,Left-footed shot,Andrés Iniesta
Champions League ,Gruppenphase,20/10/10,Home,FC Barcelona,FC Copenhagen,2:0,CF,90'+1,2:0,Left-footed shot,Éric Abidal
LaLiga ,8,23/10/10,Away,FC Barcelona,Real Zaragoza,0:2,CF,41',0:1,Left-footed shot,David Villa
LaLiga ,8,23/10/10,Away,FC Barcelona,Real Zaragoza,0:2,CF,65',0:2,Left-footed shot,Not Applicable
LaLiga ,9,30/10/10,Home,FC Barcelona,Sevilla FC,5:0,CF,4',1:0,Left-footed shot,Not Applicable
LaLiga ,9,30/10/10,Home,FC Barcelona,Sevilla FC,5:0,CF,63',4:0,Left-footed shot,Not Applicable
Champions League ,Gruppenphase,02/11/10,Away,FC Barcelona,FC Copenhagen,1:1,RW,31',0:1,Right-footed shot,Not Applicable
LaLiga ,10,07/11/10,Away,FC Barcelona,Getafe CF,1:3,CF,23',0:1,Left-footed shot,David Villa
Copa del Rey ,4.Runde,10/11/10,Home,FC Barcelona,Club Atlético de Ceuta,5:1,RW,67',5:1,Left-footed shot,Thiago Alcántara
LaLiga ,11,13/11/10,Home,FC Barcelona,Villarreal CF,3:1,CF,58',2:1,Right-footed shot,Pedro
LaLiga ,11,13/11/10,Home,FC Barcelona,Villarreal CF,3:1,CF,83',3:1,Left-footed shot,Pedro
LaLiga ,12,20/11/10,Away,FC Barcelona,UD Almería,0:8,CF,16',0:1,Left-footed shot,David Villa
LaLiga ,12,20/11/10,Away,FC Barcelona,UD Almería,0:8,CF,36',0:5,Tap-in,Not Applicable
LaLiga ,12,20/11/10,Away,FC Barcelona,UD Almería,0:8,CF,67',0:7,Tap-in,David Villa
Champions League ,Gruppenphase,24/11/10,Away,FC Barcelona,Panathinaikos FC,0:3,CF,63',0:2,Left-footed shot,Adriano
LaLiga ,14,04/12/10,Away,FC Barcelona,CA Osasuna,0:3,CF,64',0:2,Left-footed shot,David Villa
LaLiga ,14,04/12/10,Away,FC Barcelona,CA Osasuna,0:3,CF,82',0:3,Penalty,Not Applicable
LaLiga ,15,12/12/10,Home,FC Barcelona,Real Sociedad,5:0,CF,46',3:0,Left-footed shot,Dani Alves
LaLiga ,15,12/12/10,Home,FC Barcelona,Real Sociedad,5:0,CF,86',4:0,Left-footed shot,Bojan Krkic
LaLiga ,18,08/01/11,Away,FC Barcelona,Deportivo de La Coruña,0:4,CF,51',0:2,Direct free kick,Not Applicable
Copa del Rey ,Viertelfinale,12/01/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,44',1:0,Left-footed shot,Andrés Iniesta
Copa del Rey ,Viertelfinale,12/01/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,63',2:0,Left-footed shot,Not Applicable
Copa del Rey ,Viertelfinale,12/01/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,73',3:0,Left-footed shot,Xavi
Copa del Rey ,Viertelfinale,19/01/11,Away,FC Barcelona,Real Betis Balompié,3:1,RW,37',2:1,Left-footed shot,Xavi
LaLiga ,20,22/01/11,Home,FC Barcelona,Racing Santander,3:0,CF,33',2:0,Penalty,Not Applicable
Copa del Rey ,Halbfinale,26/01/11,Home,FC Barcelona,UD Almería,5:0,CF,9',1:0,Left-footed shot,Pedro
